cod_item;qtd_item;seq_item;seq_pre_venda;val_desconto;val_total;val_unitario
1;1;1;33310;R$0,00;R$105,00;R$105,00
1;1;1;33559;R$0,00;R$105,00;R$105,00
1;1;1;33571;R$0,00;R$105,00;R$105,00
1;1;1;33732;R$0,00;R$105,00;R$105,00
1;1;1;33754;R$0,00;R$210,00;R$210,00
1;1;1;33815;R$0,00;R$105,00;R$105,00
1;1;1;34092;R$0,00;R$105,00;R$105,00
1;1;1;34120;R$0,00;R$105,00;R$105,00
1;1;1;34126;R$0,00;R$105,00;R$105,00
1;1;1;34171;R$0,00;R$105,00;R$105,00
1;1;1;34529;R$0,00;R$105,00;R$105,00
1;1;1;34753;R$0,00;R$105,00;R$105,00
1;1;1;34917;R$0,00;R$105,00;R$105,00
1;1;1;35001;R$0,00;R$105,00;R$105,00
1;1;1;35155;R$0,00;R$105,00;R$105,00
1;1;1;35224;R$0,00;R$105,00;R$105,00
1;1;1;35651;R$0,00;R$105,00;R$105,00
1;1;1;35915;R$0,00;R$105,00;R$105,00
1;1;1;36097;R$0,00;R$105,00;R$105,00
1;1;1;36320;R$0,00;R$105,00;R$105,00
1;1;1;36506;R$0,00;R$105,00;R$105,00
1;1;1;36692;R$10,00;R$95,00;R$105,00
1;1;1;36696;R$50,00;R$55,00;R$105,00
1;1;1;37048;R$0,00;R$105,00;R$105,00
1;1;1;37208;R$0,00;R$105,00;R$105,00
1;1;1;37385;R$0,00;R$105,00;R$105,00
1;1;1;37520;R$0,00;R$105,00;R$105,00
1;1;1;37537;R$0,00;R$105,00;R$105,00
1;1;1;37661;R$0,00;R$105,00;R$105,00
1;1;1;37793;R$0,00;R$105,00;R$105,00
1;1;1;38004;R$0,00;R$105,00;R$105,00
1;1;1;38189;R$0,00;R$105,00;R$105,00
1;1;1;38319;R$0,00;R$105,00;R$105,00
1;1;1;38438;R$0,00;R$105,00;R$105,00
1;1;1;38467;R$0,00;R$105,00;R$105,00
1;1;1;38504;R$0,00;R$105,00;R$105,00
1;1;1;38874;R$0,00;R$105,00;R$105,00
1;1;1;38875;R$0,00;R$105,00;R$105,00
1;1;1;38925;R$0,00;R$105,00;R$105,00
1;1;1;39302;R$0,00;R$105,00;R$105,00
1;1;1;39328;R$0,00;R$105,00;R$105,00
1;1;1;39379;R$0,00;R$105,00;R$105,00
1;1;1;39471;R$0,00;R$105,00;R$105,00
1;1;1;39571;R$0,00;R$105,00;R$105,00
1;1;1;39624;R$0,00;R$105,00;R$105,00
1;1;1;39625;R$0,00;R$105,00;R$105,00
1;1;1;40093;R$0,00;R$105,00;R$105,00
1;1;1;40173;R$0,00;R$105,00;R$105,00
1;1;1;40231;R$0,00;R$105,00;R$105,00
1;1;1;40335;R$0,00;R$105,00;R$105,00
1;1;1;40343;R$0,00;R$105,00;R$105,00
1;1;1;40380;R$0,00;R$105,00;R$105,00
1;1;1;40476;R$0,00;R$105,00;R$105,00
1;1;1;40584;R$0,00;R$105,00;R$105,00
1;1;1;40824;R$0,00;R$105,00;R$105,00
1;1;1;40863;R$0,00;R$105,00;R$105,00
1;1;1;41009;R$0,00;R$105,00;R$105,00
1;1;1;41136;R$0,00;R$105,00;R$105,00
1;1;1;41509;R$0,00;R$105,00;R$105,00
1;1;1;41822;R$0,00;R$105,00;R$105,00
1;1;1;41867;R$0,00;R$105,00;R$105,00
1;1;1;41978;R$0,00;R$105,00;R$105,00
1;1;1;42033;R$0,00;R$105,00;R$105,00
1;1;1;42084;R$0,00;R$105,00;R$105,00
1;1;1;42101;R$0,00;R$105,00;R$105,00
1;1;1;42117;R$0,00;R$105,00;R$105,00
1;1;1;42225;R$0,00;R$105,00;R$105,00
1;1;1;42477;R$0,00;R$105,00;R$105,00
1;1;1;44821;R$0,00;R$105,00;R$105,00
1;1;2;33031;R$0,00;R$105,00;R$105,00
1;1;2;33129;R$0,00;R$105,00;R$105,00
1;1;2;33155;R$0,00;R$105,00;R$105,00
1;1;2;33183;R$0,00;R$105,00;R$105,00
1;1;2;33193;R$0,00;R$105,00;R$105,00
1;1;2;33307;R$0,00;R$105,00;R$105,00
1;1;2;33327;R$0,00;R$105,00;R$105,00
1;1;2;33331;R$0,00;R$105,00;R$105,00
1;1;2;33441;R$0,00;R$105,00;R$105,00
1;1;2;33461;R$0,00;R$105,00;R$105,00
1;1;2;33635;R$0,00;R$105,00;R$105,00
1;1;2;33688;R$0,00;R$105,00;R$105,00
1;1;2;33717;R$0,00;R$105,00;R$105,00
1;1;2;33888;R$0,00;R$105,00;R$105,00
1;1;2;34032;R$0,00;R$105,00;R$105,00
1;1;2;34049;R$0,00;R$105,00;R$105,00
1;1;2;34107;R$0,00;R$105,00;R$105,00
1;1;2;34118;R$0,00;R$105,00;R$105,00
1;1;2;34131;R$0,00;R$105,00;R$105,00
1;1;2;34200;R$0,00;R$105,00;R$105,00
1;1;2;34222;R$0,00;R$105,00;R$105,00
1;1;2;34361;R$0,00;R$105,00;R$105,00
1;1;2;34486;R$0,00;R$105,00;R$105,00
1;1;2;34538;R$0,00;R$105,00;R$105,00
1;1;2;34545;R$0,00;R$105,00;R$105,00
1;1;2;34557;R$0,00;R$105,00;R$105,00
1;1;2;34634;R$0,00;R$105,00;R$105,00
1;1;2;34643;R$0,00;R$105,00;R$105,00
1;1;2;34733;R$0,00;R$105,00;R$105,00
1;1;2;34754;R$0,00;R$105,00;R$105,00
