cod_condicao_pagamento;cod_pessoa_cliente;cod_pessoa_representante;dta_emissao;seq_pre_venda;val_total_pre_venda
1;124;19;19/06/2017 00:00;46123;1943,5
1;186;1559;08/04/2017 00:00;40280;4716
1;1909;1559;02/06/2017 00:00;44289;322,8
2;1;13;03/01/2017 00:00;33046;288
2;1;13;11/01/2017 00:00;33754;210
2;1;13;05/02/2017 00:00;35635;300
2;1;13;15/02/2017 00:00;36482;209,98
2;1;13;15/02/2017 00:00;36484;314,97
2;1;13;16/02/2017 00:00;36506;151,75
2;1;13;16/02/2017 00:00;36516;200
2;1;13;17/02/2017 00:00;36705;189
2;1;13;20/02/2017 00:00;36793;411,59
2;1;13;20/02/2017 00:00;36795;577,8
2;1;13;22/02/2017 00:00;37013;492
2;1;13;22/02/2017 00:00;37053;469
2;1;13;22/02/2017 00:00;37055;469
2;1;13;22/02/2017 00:00;37056;469
2;1;13;22/02/2017 00:00;37057;469
2;1;13;22/02/2017 00:00;37059;469
2;1;13;22/02/2017 00:00;37061;1146
2;1;13;23/02/2017 00:00;37091;460
2;1;13;25/02/2017 00:00;37353;648,05
2;1;13;25/02/2017 00:00;37354;633,05
2;1;13;25/02/2017 00:00;37355;633,05
2;1;13;25/02/2017 00:00;37356;633,05
2;1;13;25/02/2017 00:00;37357;633,05
2;1;13;25/02/2017 00:00;37358;546
2;1;13;25/02/2017 00:00;37359;822
2;1;13;25/02/2017 00:00;37360;537
2;1;13;25/02/2017 00:00;37361;819
2;1;13;26/02/2017 00:00;37368;1227,6
2;1;13;26/02/2017 00:00;37369;350
2;1;13;09/03/2017 00:00;38022;459,02
2;1;13;11/04/2017 00:00;40376;227,8
2;1;22;27/01/2017 00:00;34904;79766,4
2;1;22;27/01/2017 00:00;35031;15159,3
2;1;22;10/02/2017 00:00;36189;19261,44
2;1;22;10/02/2017 00:00;36191;95742,6
2;1;22;13/02/2017 00:00;36248;59026,08
2;1;22;13/02/2017 00:00;36252;165765,6
2;1;22;24/02/2017 00:00;37267;7940,85
2;1;22;24/02/2017 00:00;37275;72272,2
2;1;22;24/02/2017 00:00;37281;94028,48
2;1;22;24/02/2017 00:00;37294;93858,24
2;1;22;03/03/2017 00:00;37655;7283,4
2;1;22;20/03/2017 00:00;38877;32040
2;1;22;20/03/2017 00:00;38894;47689
2;1;22;21/03/2017 00:00;39001;33048
2;1;22;21/03/2017 00:00;39006;86195,52
2;1;22;21/03/2017 00:00;39007;95572,8
2;1;22;21/03/2017 00:00;39008;86195,52
2;1;22;21/03/2017 00:00;39009;9377,28
2;1;22;19/04/2017 00:00;41084;64807,6
2;1;22;22/04/2017 00:00;41281;112429,44
2;1;22;24/04/2017 00:00;41355;70218,6
2;1;22;24/04/2017 00:00;41356;54978
2;1;22;23/05/2017 00:00;43530;42336
2;1;22;25/05/2017 00:00;43757;66150
2;1;22;29/05/2017 00:00;43932;61740
2;1;22;29/05/2017 00:00;43962;79477,38
