"cod_cidade";"nom_cidade"
98;"VITORIA"
1;"SAO JOSE DO RIO PRETO"
2;"PRESIDENTE VENCESLAU"
3;"ICEM"
4;"OLIMPIA"
5;"BARRETOS"
6;"VOTUPORANGA"
7;"NOVA GRANADA"
8;"FERNANDOPOLIS"
9;"ARACATUBA"
10;"BIRIGUI"
11;"CARDOSO"
12;"JOSE BONIFACIO"
13;"CATANDUVA"
14;"JABORANDI"
15;"COLINA"
16;"PRESIDENTE PRUDENTE"
17;"PRESIDENTE BERNARDES"
18;"SANTO ANASTACIO"
19;"GUARARAPES"
21;"CRUZ DAS POSSES"
23;"BASTOS"
24;"POTIRENDABA"
25;"NOVO HORIZONTE"
26;"PRESIDENTE EPITACIO"
27;"DRACENA"
28;"MIRANDOPOLIS"
29;"PEREIRA BARRETO"
30;"JALES"
32;"MONTE APRAZIVEL"
33;"ANDRADINA"
34;"ORLANDIA"
35;"SAO JOAQUIM DA BARRA"
37;"BEBEDOURO"
38;"JABOTICABAL"
40;"SERRANA"
41;"CRAVINHOS"
42;"LUIS ANTONIO"
43;"SANTA RITA DO PASSA QUATRO"
44;"BELEM"
45;"TAMBAU"
46;"ANANINDEUA"
47;"SANTA CRUZ DAS PALMEIRAS"
48;"MATAO"
50;"CAPANEMA"
51;"ARARAQUARA"
52;"IBITINGA"
53;"DESCALVADO"
54;"SANTA ISABEL DO PARA"
55;"SAO JOAO DA BOA VISTA"
56;"FERNANDO PRESTES"
59;"BRODOWSKI"
60;"CAJURU"
61;"PARAGOMINAS"
62;"SERTAOZINHO"
63;"TAQUARITINGA"
64;"SERRA AZUL"
65;"ABAETETUBA"
66;"SAO SIMAO"
67;"SANTA ROSA DE VITERBO"
68;"BARCARENA"
69;"CASTANHAL"
70;"CASSIA DOS COQUEIROS"
71;"PRADOPOLIS"
72;"GUARIBA"
73;"IPIXUANA DO PARA"
74;"SANTA ERNESTINA"
75;"AURORA DO PARA"
76;"JARDINOPOLIS"
77;"PONTAL"
78;"MAE DO RIO"
79;"RINCAO"
80;"AMERICO BRASILIENSE"
82;"BARRINHA"
83;"ITAPOLIS"
84;"MORRO AGUDO"
86;"VIRADOURO"
87;"PORTO FERREIRA"
89;"BARIRI"
90;"BENEVIDES"
91;"MARACANA"
93;"SANTAREM NOVO"
94;"MAGALHAES DE BARATA"
95;"IGARAPE DO PARA"
96;"VIGIA"
97;"SANTA BARBARA DO PARA"
99;"ICORACI"
100;"VILA VELHA"
101;"CARIACICA"
102;"GUARAPARI"
103;"RIBEIRAO PRETO"
104;"SALINOPOLIS"
105;"SERRA"
106;"SANTA LEOPOLDINA"
107;"DOMINGOS MARTINS"
108;"MARECHAL FLORIANO"
109;"SANTA MARIA DE JETIBA"
110;"ARACRUZ"
111;"JOAO NEIVA"
112;"SANTA TEREZA"
113;"ITAGUACU"
114;"COLATINA"
115;"LINHARES"
116;"SAO DOMINGOS DO NORTE"
117;"SAO GABRIEL DA PALHA"
118;"NOVA VENECIA"
119;"BARRA DE SAO FRANCISCO"
120;"ECOPORANGA"
121;"PINHEIROS"
122;"PIUMA"
123;"ANCHIETA"
124;"IGARAPE ACU"
126;"MARATAIZES"
127;"MIMOSO DO SUL"
128;"MUNIZ FREIRE"
130;"SAO MATEUS"
131;"BAURU"
132;"LINS"
133;"TUPA"
134;"MARILIA"
135;"PENAPOLIS"
136;"ADAMANTINA"
137;"JAU"
138;"SAO CARLOS"
139;"OURINHOS"
140;"AVARE"
142;"ABADIA DE GOIAS"
143;"ABADIA DOS DOURADOS"
144;"ABADIANIA"
145;"ABAETE"
147;"ABAIARA"
148;"ABAIRA"
149;"ABARE"
150;"ABATIA"
151;"ABDON BATISTA"
152;"ABELARDO LUZ"
153;"ABEL FIGUEIREDO"
154;"ABRE CAMPO"
155;"ABREU E LIMA"
156;"ABREULANDIA"
157;"ACAILANDIA"
158;"ACAJUTIBA"
159;"ACARA"
160;"ACARAPE"
161;"ACARAU"
162;"ACARI"
163;"ACEGUA"
164;"ACOPIARA"
165;"ACORIZAL"
166;"ACRELANDIA"
167;"ACREUNA"
168;"ACU"
170;"ADELANDIA"
171;"ADOLFO"
172;"ADRIANOPOLIS"
173;"ADUSTINA"
174;"AFOGADOS DA INGAZEIRA"
175;"AFONSO BEZERRA"
176;"AFONSO CLAUDIO"
177;"AFRANIO"
178;"AFUA"
179;"AGRESTINA"
180;"AGRICOLANDIA"
181;"AGROLANDIA"
182;"AGRONOMICA"
183;"AGUA AZUL DO NORTE"
184;"AGUA BOA"
185;"AGUA BOA"
186;"AGUA BRANCA"
187;"AGUA BRANCA"
188;"AGUA BRANCA"
189;"AGUA CLARA"
190;"AGUA COMPRIDA"
191;"AGUA DOCE"
192;"AGUA DOCE DO NORTE"
193;"AGUA FRIA"
194;"AGUA FRIA DE GOIAS"
195;"AGUAI"
196;"AGUA LIMPA"
197;"AGUANIL"
198;"AGUA PRETA"
199;"AGUA SANTA"
200;"AGUAS BELAS"
201;"AGUAS DA PRATA"
202;"AGUAS DE CHAPECO"
203;"AGUAS DE LINDOIA"
204;"AGUAS DE SANTA BARBARA"
205;"AGUAS DE SAO PEDRO"
