"seq_pre_venda";"cod_item";"qtd_item";"cod_unidade_venda";"val_unitario";"val_desconto_embutido";"val_desconto";"val_total"
37.813;25;20;7;22,8;0;16,78;439,22
37.813;177;5;36;23,85;0;0;119,25
37.813;24;5;7;23,88;0;0;119,4
35.022;22;1;35;71,76;0;0;71,76
35.022;100;1;12;62,94;0;0;62,94
35.022;26;3;7;19,08;0;0;57,24
35.018;24;20;7;23,5;0;0;470
35.018;25;100;7;21,2;0;0;2120
35.027;181;5;12;33;0;0;165
37.813;127;5;1;8,45;0;0;42,25
37.817;362;2;2;112,56;0;0;225,12
37.817;282;3;2;138,96;0;0;416,88
33.857;52;1;5;27,1;0;0;27,1
37.817;20;5;35;74,16;0;0;370,8
37.817;307;1;35;68,9;0;0;68,9
35.027;38;8;12;31,14;0;0;249,12
35.027;39;1;12;32,46;0;0;32,46
33.857;60;1;2;30,5;0;0;30,5
33.857;38;1;12;31,5;0;0;31,5
35.027;79;1;7;16,68;0;0;16,68
35.027;40;1;12;24,9;0;0;24,9
35.027;45;1;12;24,9;0;0;24,9
33.857;25;2;7;23,88;0;0;47,76
33.857;37;2;10;38,87;0;0;77,74
35.027;146;12;1;2,9125;0;0;34,95
35.027;86;1;29;23,88;0;0;23,88
35.027;83;1;12;22,002;0;0;22
35.027;89;1;12;23,88;0;0;23,88
35.027;82;1;12;22,002;0;0;22
35.027;84;1;29;23,88;0;0;23,88
37.817;323;1;35;71,76;0;0;71,76
37.817;22;1;35;71,76;0;0;71,76
37.817;391;20;5;16,68;0;0;333,6
35.021;24;40;7;23;0;0;920
37.817;27;20;7;18,96;0;0;379,2
37.817;392;7;5;8,5;0;0;59,5
37.817;401;3;5;9,5;0;0;28,5
37.817;288;1;29;81;0;0;81
37.817;25;100;7;22,8;0;80;2200
37.817;177;10;36;24;0;0;240
37.817;180;50;36;25,5;0;0;1275
37.817;101;1;2;100,56;0;0;100,56
35.021;37;8;10;38,87;0;0;310,96
35.021;390;18;1;2,49;0;0;44,82
35.016;129;4;1;7,79;0;0;31,16
35.016;356;2;1;9;0;0;18
35.016;124;5;1;7,79;0;0;38,95
35.016;123;2;1;7,8;0;0;15,6
35.016;257;4;1;7,4175;0;0;29,67
35.016;100;1;12;62,95;0;0;62,95
35.016;268;3;7;20,2833333333333;0;0;60,85
35.016;37;6;10;38,875;0;0;233,25
37.817;102;1;35;138;0;0;138
37.817;55;2;7;37;0;0;74
37.817;249;3;12;19,5;0;0;58,5
35.019;38;4;12;31,14;0;0;124,56
35.019;181;2;12;33;0;0;66
35.019;27;4;7;18,96;0;0;75,84
33.608;177;25;36;23,85;0;0;596,25
33.608;86;1;29;23,88;0;0;23,88
37.817;170;2;12;19,5;0;0;39
37.817;167;3;12;19,5;0;0;58,5
37.817;193;2;35;95,76;0;0;191,52
37.817;28;10;5;17,07;0;0;170,7
41.493;403;4;2;102,9;0;0;411,6
41.493;37;10;10;38,87;0;9,21;379,49
41.493;36;3;10;37,95;0;0;113,85
41.493;283;1;7;30,9;0;0;30,9
41.487;402;75;26;39,92;0;179,94;2814,06
37.811;38;10;12;31,14;0;11,99;299,41
37.811;40;4;12;25,895;0;0;103,58
37.810;37;30;10;38,87;0;27,64;1138,46
41.487;47;100;12;17,94;0;59,92;1734,08
37.804;38;24;12;31,14;0;28,77;718,59
41.487;391;50;5;11,88;0;0;594
35.014;7;2;2;67,95;0;0;135,9
35.014;2;1;2;105;0;0;105
35.014;62;1;2;17;0;0;17
35.028;38;3;12;31,14;0;0;93,42
33.608;89;1;12;23,88;0;0;23,88
33.608;85;1;29;23,88;0;0;23,88
33.608;94;1;12;12,9;0;0;12,9
33.608;92;1;12;12,9;0;0;12,9
35.028;181;2;12;33;0;0;66
33.608;210;6;1;2,91333333333333;0;0;17,48
35.028;76;1;12;11,9994;0;0;12
35.028;79;1;7;16,68;0;0;16,68
44.257;366;440;5;20,28;0;0;8923,2
44.257;283;792;7;23,04;0;0;18247,68
41.492;391;20;5;12,96;0;0;259,2
37.820;38;10;12;31,14;0;11,99;299,41
37.805;38;30;12;29,94;0;0;898,2
33.608;147;12;1;2,9125;0;0;34,95
33.608;146;12;1;2,9125;0;0;34,95
41.519;391;145;5;11,88;0;0;1722,6
41.519;25;100;7;23,88;0;195,05;2192,95
41.509;1;1;2;105;0;0;105
41.509;4;1;2;105;0;0;105
41.509;25;1;7;23,88;0;0;23,88
41.509;24;1;7;23,88;0;0;23,88
33.608;145;6;1;2,91333333333333;0;0;17,48
33.608;356;3;1;9;0;0;27
33.608;127;3;1;8,09;0;0;24,27
33.608;129;2;1;7,79;0;0;15,58
41.508;38;5;12;30,54;0;0;152,7
41.508;27;5;7;19,08;0;0;95,4
41.508;25;3;7;23,88;0;0;71,64
35.026;25;30;7;21,9;0;0;657
33.609;25;572;7;22,8;0;0;13041,6
35.026;37;20;10;38,41;0;0;768,2
41.510;257;2;5;89;0;0;178
39.372;147;1;2;75,6;0;0;75,6
33.611;37;1;10;38,87;0;0;38,87
33.611;38;1;12;31,5;0;0;31,5
44.261;25;10;7;23,4;0;0;234
44.260;36;5;10;38,87;0;0;194,35
44.262;37;20;10;38,87;0;0;777,4
36.078;37;20;10;37,95;0;0;759
35.029;24;20;7;23,88;0;0;477,6
35.029;25;30;7;21,9;0;0;657
37.823;181;3;12;33;0;0;99
37.823;64;1;7;22,68;0;0;22,68
37.823;40;1;12;25,9;0;0;25,9
37.823;96;1;5;14,4;0;0;14,4
33.611;25;1;7;23,88;0;0;23,88
37.823;95;1;5;14,4;0;0;14,4
37.823;296;2;12;9;0;0;18
37.823;31;2;7;18,6;0;0;37,2
37.823;26;2;7;19,08;0;0;38,16
37.823;25;2;7;23,88;0;0;47,76
37.823;99;1;12;37,74;0;0;37,74
41.511;403;50;2;106;0;0;5300
41.511;1;20;2;106;0;0;2120
41.511;42;15;12;29,9;0;0;448,5
41.511;25;20;7;24;0;0;480
33.854;27;5;7;20,28;0;0;101,4
33.854;25;1;7;23,88;0;0;23,88
33.854;114;1;7;11,5;0;0;11,5
33.854;38;1;12;31,5;0;0;31,5
37.824;37;6;10;38,87;0;0;233,22
37.824;7;2;2;68;0;0;136
37.824;163;2;20;30;0;0;60
37.824;62;1;2;17;0;0;17
37.822;2;1;2;105;0;0;105
35.010;15;7;5;60;0;0;420
35.010;37;6;10;40,25;0;0;241,5
35.010;2;8;2;105;0;0;840
35.010;25;20;7;23,88;0;0;477,6
35.010;177;10;36;24,75;0;0;247,5
35.010;178;7;7;36,6;0;0;256,2
35.010;1;4;2;105;0;0;420
35.010;24;10;7;23,88;0;0;238,8
35.010;20;2;35;81,36;0;0;162,72
35.010;21;1;35;81,36;0;0;81,36
35.010;19;1;35;57,6;0;0;57,6
35.010;18;1;35;64,56;0;0;64,56
36.078;36;30;10;37,95;0;0;1138,5
35.010;157;1;5;54,9;0;0;54,9
37.822;25;2;7;23,88;0;0;47,76
37.821;188;5;1;7,45;0;0;37,25
37.821;104;1;5;69,48;0;0;69,48
37.821;109;2;1;12,9;0;0;25,8
37.821;38;1;12;31,14;0;0;31,14
37.821;105;2;1;8,9;0;0;17,8
37.821;60;1;2;30;0;0;30
35.031;180;598;36;25,35;0;0;15159,3
35.030;27;20;7;19,08;0;0;381,6
35.030;51;5;12;23,4996;0;0;117,5
35.030;124;1;5;93,48;0;0;93,48
35.020;36;20;10;38,87;0;0;777,4
35.020;177;50;36;23,25;0;0;1162,5
35.020;180;20;36;24;0;0;480
37.819;181;5;12;33;0;0;165
37.819;180;10;36;25,35;0;0;253,5
37.819;25;15;7;22,8;0;0;342
35.015;181;2;12;33;0;0;66
35.015;38;2;12;31,14;0;0;62,28
35.015;159;1;12;27,4998;0;0;27,5
35.015;54;1;7;39;0;0;39
35.015;79;1;7;16,68;0;0;16,68
35.015;64;1;7;22,68;0;0;22,68
35.015;37;2;10;38,87;0;0;77,74
35.015;268;2;7;20,28;0;0;40,56
35.015;27;5;7;18,96;0;0;94,8
35.015;31;1;7;18,6;0;0;18,6
35.015;25;5;7;23,88;0;0;119,4
35.015;84;1;29;23,88;0;0;23,88
35.015;82;1;12;22,002;0;0;22
35.015;89;1;12;23,88;0;0;23,88
35.015;177;5;36;23,85;0;0;119,25
35.015;322;12;1;2,8708;0;0;34,45
37.820;25;10;7;22,8;0;0;228
33.854;127;3;1;8,9;0;0;26,7
33.854;24;2;7;23,88;0;0;47,76
44.263;3;5;2;69,84;0;0;349,2
44.263;26;3;7;19,08;0;0;57,24
35.033;25;20;7;22,8;0;0;456
35.033;27;30;7;18,96;0;0;568,8
44.263;31;4;7;17,64;0;0;70,56
44.263;181;3;12;33;0;0;99
44.263;38;4;12;29,94;0;0;119,76
44.263;40;2;12;25,896;0;0;51,79
44.263;45;1;12;25,896;0;0;25,9
37.826;25;15;7;22,8;0;0;342
35.037;177;50;36;23,1;0;0;1155
35.036;177;30;36;23,25;0;0;697,5
37.826;15;4;5;60;0;0;240
37.826;14;2;5;60;0;0;120
35.034;36;2;10;38,87;0;0;77,74
35.034;37;10;10;38,87;0;0;388,7
35.034;181;2;12;33;0;0;66
37.826;2;4;2;105;0;0;420
37.826;1;2;2;105;0;0;210
35.035;37;50;10;37,72;0;0;1886
35.032;37;10;10;38,87;0;0;388,7
35.032;181;3;12;33;0;0;99
35.032;25;50;7;21,5;0;0;1075
35.038;2;8;2;105;0;0;840
35.038;15;4;5;61;0;0;244
36.078;24;20;7;23,88;0;0;477,6
36.078;146;1;2;75,6;0;0;75,6
36.078;124;1;5;97,8;0;0;97,8
36.080;14;3;5;60;0;0;180
36.080;36;5;10;38,87;0;0;194,35
36.080;37;15;10;37,95;0;0;569,25
37.825;2;4;2;105;0;0;420
37.825;25;10;7;22,8;0;0;228
37.825;1;1;2;105;0;0;105
37.825;24;5;7;23,88;0;0;119,4
41.512;24;5;7;23,88;0;0;119,4
41.512;25;5;7;23,88;0;0;119,4
41.512;26;5;7;19,08;0;0;95,4
33.607;25;15;7;22,68;0;0;340,2
41.512;268;5;7;20,28;0;0;101,4
44.254;168;2;12;19,5;0;0;39
44.254;169;2;12;19,5;0;0;39
44.254;250;2;12;19,5;0;0;39
