"seq_pre_venda";"dta_emissao";"hra_emissao";"cod_pessoa_cliente";"cod_pessoa_representante";"val_total_pre_venda";"ind_status"
38.356;14/03/2017 00:00;"09:10";969;1.568;152,1;"CC"
38.418;14/03/2017 00:00;"15:42";2.959;19;228,84;"CC"
39.812;03/04/2017 00:00;"16:32";3.043;19;4278,19;"CC"
44.090;31/05/2017 00:00;"08:02";1.198;22;15537;"CC"
38.420;14/03/2017 00:00;"15:48";2.961;19;731,49;"CC"
38.804;17/03/2017 00:00;"16:54";1.542;93;139,84;"CC"
45.741;14/06/2017 00:00;"15:55";301;2.182;2524,99;"FA"
45.744;13/06/2017 00:00;"16:08";1;685;46,18;"FA"
33.525;09/01/2017 00:00;"15:39";2.222;18;257,34;"FA"
45.743;14/06/2017 00:00;"16:05";3.310;3.231;295,62;"FA"
45.747;13/06/2017 00:00;"16:10";1;685;25;"FA"
45.745;14/06/2017 00:00;"16:07";1.781;2.481;221,61;"FA"
45.749;14/06/2017 00:00;"16:14";3.364;3.231;398,44;"FA"
45.750;14/06/2017 00:00;"16:19";1;685;51;"FA"
45.748;14/06/2017 00:00;"16:14";3.096;2.481;4395,3;"FA"
35.272;01/02/2017 00:00;"12:06";2.491;685;559;"FA"
45.751;14/06/2017 00:00;"16:21";1;685;150,55;"FA"
45.746;14/06/2017 00:00;"16:10";478;2.182;1080;"FA"
45.752;14/06/2017 00:00;"16:23";1;685;105;"FA"
45.762;14/06/2017 00:00;"16:42";55;18;874,2;"FA"
45.753;14/06/2017 00:00;"16:20";3.331;3.231;190,06;"CC"
35.276;01/02/2017 00:00;"13:33";2.745;18;615,33;"FA"
36.247;13/02/2017 00:00;"11:51";1.234;2.481;455,32;"CC"
45.754;14/06/2017 00:00;"16:25";1;685;27;"FA"
33.518;09/01/2017 00:00;"15:18";205;1.534;2188,4;"FA"
33.526;09/01/2017 00:00;"15:39";495;2.300;204,16;"FA"
33.527;09/01/2017 00:00;"15:40";979;19;804,48;"FA"
33.534;09/01/2017 00:00;"16:12";2.490;2.182;261,24;"FA"
33.531;09/01/2017 00:00;"16:04";2.595;2.300;420;"FA"
33.539;09/01/2017 00:00;"16:38";415;1.568;167,16;"FA"
33.542;09/01/2017 00:00;"16:51";2.275;1.568;59,5;"FA"
34.301;19/01/2017 00:00;"13:15";2.280;19;1236;"FA"
45.755;14/06/2017 00:00;"16:27";1;685;62,3;"FA"
45.757;14/06/2017 00:00;"16:31";1;685;90;"FA"
45.739;14/06/2017 00:00;"15:53";3.233;3.231;702,36;"FA"
33.528;09/01/2017 00:00;"15:47";2.491;685;608;"FA"
